"","Name","Ask","Bid","Date"
"1","Agilent Technologies, Inc. Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"2","Alcoa Corporation Common Stock ","N/A","N/A","Tue Nov 15 06:42:36 2016"
"5","AAC Holdings, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"6","Aaron's, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"7","Antero Midstream Partners LP Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
"8","Amber Road, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"9","AMC Entertainment Holdings, Inc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"10","AMETEK, Inc.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"11","AMEC Foster Wheeler plc America","N/A","N/A","Tue Nov 15 06:42:36 2016"
"12","Affiliated Managers Group, Inc.","N/A","N/A","Tue Nov 15 06:42:36 2016"
"13","American Homes 4 Rent Common Sh","N/A","N/A","Tue Nov 15 06:42:36 2016"
"19","American Midstream Partners, LP","N/A","N/A","Tue Nov 15 06:42:36 2016"
"20","AMN Healthcare Services Inc AMN","N/A","N/A","Tue Nov 15 06:42:36 2016"
"21","Ameriprise Financial, Inc. Comm","N/A","N/A","Tue Nov 15 06:42:36 2016"
"22","Ameresco, Inc. Class A Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"23","American Tower Corporation (REI","N/A","N/A","Tue Nov 15 06:42:36 2016"
"26","America Movil, S.A.B. de C.V. A","N/A","N/A","Tue Nov 15 06:42:36 2016"
"27","AutoNation, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"28","Arista Networks, Inc. Common St","N/A","N/A","Tue Nov 15 06:42:36 2016"
"29","Abercrombie & Fitch Company Com","N/A","N/A","Tue Nov 15 06:42:36 2016"
"30","Amira Nature Foods Ltd Ordinary","N/A","N/A","Tue Nov 15 06:42:36 2016"
"31","Anworth Mortgage Asset Corporat","N/A","N/A","Tue Nov 15 06:42:36 2016"
"35","Anthem, Inc. Common Stock","N/A","N/A","Tue Nov 15 06:42:36 2016"
"36","Anthem, Inc. Corporate Units","N/A","N/A","Tue Nov 15 06:42:36 2016"
"37","Aegean Marine Petroleum Network","N/A","N/A","Tue Nov 15 06:42:36 2016"
"38","Alpine Total Dynamic Dividend F","N/A","N/A","Tue Nov 15 06:42:36 2016"
"39","Alliance One International, Inc","N/A","N/A","Tue Nov 15 06:42:36 2016"
"40","Aon plc Class A Ordinary Shares","N/A","N/A","Tue Nov 15 06:42:36 2016"
"41","A.O. Smith Corporation Common S","N/A","N/A","Tue Nov 15 06:42:36 2016"
"42","Ampco-Pittsburgh Corporation Co","N/A","N/A","Tue Nov 15 06:42:36 2016"
